"Type";"ScopeMGLevel";"Scope";"ScopeId";"PolicyDisplayName";"PolicyDefinitionName";"PolicyDefinitionId";"PolicyVersion";"PolicyEffect";"PolicyCategory";"UniqueAssignmentsCount";"UsedInPolicySetsCount";"UsedInPolicySet4CSV";"CreatedOn";"CreatedBy";"UpdatedOn";"UpdatedBy";"ALZ";"ALZState";"ALZLatestVer";"ALZIdentificationLevel";"ALZPolicyName"
"BuiltIn";;;;"Azure Backup should be enabled for Virtual Machines";"013e242c-8828-4970-87b3-ab247555486d";"/providers/microsoft.authorization/policydefinitions/013e242c-8828-4970-87b3-ab247555486d";"3.0.0";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"Backup";"0";"13";"[Deprecated]: Azure Security Benchmark v1 (/providers/microsoft.authorization/policysetdefinitions/42a694ed-f65e-42b2-aa9e-8052e9740a92), [Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b), [Preview]: CMMC 2.0 Level 2 (/providers/microsoft.authorization/policysetdefinitions/4e50fd13-098b-3206-61d6-d1d78205cb45), CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de), DoD Impact Level 4 (/providers/microsoft.authorization/policysetdefinitions/8d792a84-723c-4d92-a3c3-e4ed16a2d133), DoD Impact Level 5 (/providers/microsoft.authorization/policysetdefinitions/f9a961fa-3241-4b20-adc4-bbf8ad9d7197), FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f), FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693), Microsoft cloud security benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8), NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9), NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f), NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f), SOC 2 Type 2 (/providers/microsoft.authorization/policysetdefinitions/4054785f-702b-4a98-9215-009cbd58b141)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Configure App Service app slots to use the latest TLS version";"014664e7-e348-41a3-aeb9-566e4ff6a9df";"/providers/microsoft.authorization/policydefinitions/014664e7-e348-41a3-aeb9-566e4ff6a9df";"1.1.0";"Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled";"App Service";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Implement a threat awareness program";"015b4935-448a-8684-27c0-d13086356c33";"/providers/microsoft.authorization/policydefinitions/015b4935-448a-8684-27c0-d13086356c33";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"1";"PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Implement system boundary protection";"01ae60e2-38bb-0a32-7b20-d3a091423409";"/providers/microsoft.authorization/policydefinitions/01ae60e2-38bb-0a32-7b20-d3a091423409";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"3";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2), PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb), SOC 2 Type 2 (/providers/microsoft.authorization/policysetdefinitions/4054785f-702b-4a98-9215-009cbd58b141)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Authorize remote access to privileged commands";"01c387ea-383d-4ca9-295a-977fab516b03";"/providers/microsoft.authorization/policydefinitions/01c387ea-383d-4ca9-295a-977fab516b03";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Configure a private DNS Zone ID for table groupID";"028bbd88-e9b5-461f-9424-a1b63a7bee1a";"/providers/microsoft.authorization/policydefinitions/028bbd88-e9b5-461f-9424-a1b63a7bee1a";"1.0.0";"Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled";"Storage";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"[Deprecated]: Show audit results from Windows VMs on which the remote connection status does not match the specified one";"02a84be7-c304-421f-9bb7-5d2c26af54ad";"/providers/microsoft.authorization/policydefinitions/02a84be7-c304-421f-9bb7-5d2c26af54ad";"3.0.0-deprecated";"Fixed: auditIfNotExists";"Guest Configuration";"0";"1";"[Deprecated]: Audit Windows VMs on which the remote host connection status does not match the specified one (/providers/microsoft.authorization/policysetdefinitions/4ddaefff-7c78-4824-9b27-5c344f3cdf90)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Configure Azure Virtual Desktop workspaces with private endpoints";"02aa841c-42e8-492f-a43d-1f2c67e58d41";"/providers/microsoft.authorization/policydefinitions/02aa841c-42e8-492f-a43d-1f2c67e58d41";"1.0.0";"Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled";"Desktop Virtualization";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Identify incident response personnel";"037c0089-6606-2dab-49ad-437005b5035f";"/providers/microsoft.authorization/policydefinitions/037c0089-6606-2dab-49ad-437005b5035f";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Cognitive Services accounts should restrict network access";"037eea7a-bd0a-46c5-9a66-03aea78705d3";"/providers/microsoft.authorization/policydefinitions/037eea7a-bd0a-46c5-9a66-03aea78705d3";"3.0.0";"Default: Audit; Allowed: Audit,Deny,Disabled";"Cognitive Services";"0";"11";"[Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b), [Preview]: CMMC 2.0 Level 2 (/providers/microsoft.authorization/policysetdefinitions/4e50fd13-098b-3206-61d6-d1d78205cb45), CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de), DoD Impact Level 4 (/providers/microsoft.authorization/policysetdefinitions/8d792a84-723c-4d92-a3c3-e4ed16a2d133), DoD Impact Level 5 (/providers/microsoft.authorization/policysetdefinitions/f9a961fa-3241-4b20-adc4-bbf8ad9d7197), FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f), FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693), Microsoft cloud security benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8), NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9), NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f), NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Design an access control model";"03b6427e-6072-4226-4bd9-a410ab65317e";"/providers/microsoft.authorization/policydefinitions/03b6427e-6072-4226-4bd9-a410ab65317e";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"3";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2), PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb), SOC 2 Type 2 (/providers/microsoft.authorization/policysetdefinitions/4054785f-702b-4a98-9215-009cbd58b141)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Review access control policies and procedures";"03d550b4-34ee-03f4-515f-f2e2faf7a413";"/providers/microsoft.authorization/policydefinitions/03d550b4-34ee-03f4-515f-f2e2faf7a413";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"2";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2), PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Azure Kubernetes Service Private Clusters should be enabled";"040732e8-d947-40b8-95d6-854c95024bf8";"/providers/microsoft.authorization/policydefinitions/040732e8-d947-40b8-95d6-854c95024bf8";"1.0.1";"Default: Audit; Allowed: Audit,Deny,Disabled";"Kubernetes";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Create a data inventory";"043c1e56-5a16-52f8-6af8-583098ff3e60";"/providers/microsoft.authorization/policydefinitions/043c1e56-5a16-52f8-6af8-583098ff3e60";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"3";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2), PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb), SOC 2 Type 2 (/providers/microsoft.authorization/policysetdefinitions/4054785f-702b-4a98-9215-009cbd58b141)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Audit Linux machines that have the specified applications installed";"0447bc18-e2f7-4c0d-aa20-bff034275be1";"/providers/microsoft.authorization/policydefinitions/0447bc18-e2f7-4c0d-aa20-bff034275be1";"3.2.0";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"Guest Configuration";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Storage account keys should not be expired";"044985bb-afe1-42cd-8a36-9d5d42424537";"/providers/microsoft.authorization/policydefinitions/044985bb-afe1-42cd-8a36-9d5d42424537";"3.0.0";"Default: Audit; Allowed: Audit,Deny,Disabled";"Storage";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Verify inaccurate or outdated PII";"0461cacd-0b3b-4f66-11c5-81c9b19a3d22";"/providers/microsoft.authorization/policydefinitions/0461cacd-0b3b-4f66-11c5-81c9b19a3d22";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"1";"SOC 2 Type 2 (/providers/microsoft.authorization/policysetdefinitions/4054785f-702b-4a98-9215-009cbd58b141)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Display an explicit logout message";"0471c6b7-1588-701c-2713-1fade73b75f6";"/providers/microsoft.authorization/policydefinitions/0471c6b7-1588-701c-2713-1fade73b75f6";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"[Preview]: Configure Azure Recovery Services vaults to disable public network access";"04726aae-4e8d-427c-af7d-ecf56d490022";"/providers/microsoft.authorization/policydefinitions/04726aae-4e8d-427c-af7d-ecf56d490022";"1.0.0-preview";"Default: Modify; Allowed: Disabled,Modify";"Backup";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Azure Cosmos DB allowed locations";"0473574d-2d43-4217-aefe-941fcdf7e684";"/providers/microsoft.authorization/policydefinitions/0473574d-2d43-4217-aefe-941fcdf7e684";"1.1.0";"Default: Deny; Allowed: audit,Audit,deny,Deny,disabled,Disabled";"Cosmos DB";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"[Deprecated]: SQL managed instances should use customer-managed keys to encrypt data at rest";"048248b0-55cd-46da-b1ff-39efd52db260";"/providers/microsoft.authorization/policydefinitions/048248b0-55cd-46da-b1ff-39efd52db260";"1.0.2-deprecated";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"SQL";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Develop configuration management plan";"04837a26-2601-1982-3da7-bf463e6408f4";"/providers/microsoft.authorization/policydefinitions/04837a26-2601-1982-3da7-bf463e6408f4";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"1";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Document and implement wireless access guidelines";"04b3e7f6-4841-888d-4799-cda19a0084f6";"/providers/microsoft.authorization/policydefinitions/04b3e7f6-4841-888d-4799-cda19a0084f6";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"2";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2), PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb)";;;;;"False";"";"";"";""
"BuiltIn";;;;"[Preview]: Network traffic data collection agent should be installed on Linux virtual machines";"04c4380f-3fae-46e8-96c9-30193528f602";"/providers/microsoft.authorization/policydefinitions/04c4380f-3fae-46e8-96c9-30193528f602";"1.0.2-preview";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"Monitoring";"0";"9";"[Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b), [Preview]: CMMC 2.0 Level 2 (/providers/microsoft.authorization/policysetdefinitions/4e50fd13-098b-3206-61d6-d1d78205cb45), DoD Impact Level 4 (/providers/microsoft.authorization/policysetdefinitions/8d792a84-723c-4d92-a3c3-e4ed16a2d133), DoD Impact Level 5 (/providers/microsoft.authorization/policysetdefinitions/f9a961fa-3241-4b20-adc4-bbf8ad9d7197), FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f), FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693), NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9), NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f), NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Shared dashboards should not have markdown tiles with inline content";"04c655fe-0ac7-48ae-9a32-3a2e208c7624";"/providers/microsoft.authorization/policydefinitions/04c655fe-0ac7-48ae-9a32-3a2e208c7624";"1.0.0";"Default: Audit; Allowed: Audit,Deny,Disabled";"Portal";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Deploy Diagnostic Settings for Service Bus to Log Analytics workspace";"04d53d87-841c-4f23-8a5b-21564380b55e";"/providers/microsoft.authorization/policydefinitions/04d53d87-841c-4f23-8a5b-21564380b55e";"2.1.0";"Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled";"Monitoring";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Configure Linux Virtual Machine Scale Sets to be associated with a Data Collection Rule or a Data Collection Endpoint";"050a90d5-7cce-483f-8f6c-0df462036dda";"/providers/microsoft.authorization/policydefinitions/050a90d5-7cce-483f-8f6c-0df462036dda";"2.0.0";"Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled";"Monitoring";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Configure virtual networks to use specific workspace, storage account and flowlog retention policy for traffic analytics";"052c180e-287d-44c3-86ef-01aeae2d9774";"/providers/microsoft.authorization/policydefinitions/052c180e-287d-44c3-86ef-01aeae2d9774";"1.0.0";"Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled";"Network";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Deploy Log Analytics extension for Linux VMs. See deprecation notice below";"053d3325-282c-4e5c-b944-24faffd30d77";"/providers/microsoft.authorization/policydefinitions/053d3325-282c-4e5c-b944-24faffd30d77";"3.0.0";"Fixed: deployIfNotExists";"Monitoring";"0";"1";"Legacy - Enable Azure Monitor for VMs (/providers/microsoft.authorization/policysetdefinitions/55f3eceb-5573-4f18-9695-226972c6d74a)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Azure Web Application Firewall should be enabled for Azure Front Door entry-points";"055aa869-bc98-4af8-bafc-23f1ab6ffe2c";"/providers/microsoft.authorization/policydefinitions/055aa869-bc98-4af8-bafc-23f1ab6ffe2c";"1.0.2";"Default: Audit; Allowed: Audit,Deny,Disabled";"Network";"0";"12";"[Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b), [Preview]: CMMC 2.0 Level 2 (/providers/microsoft.authorization/policysetdefinitions/4e50fd13-098b-3206-61d6-d1d78205cb45), CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de), DoD Impact Level 4 (/providers/microsoft.authorization/policysetdefinitions/8d792a84-723c-4d92-a3c3-e4ed16a2d133), DoD Impact Level 5 (/providers/microsoft.authorization/policysetdefinitions/f9a961fa-3241-4b20-adc4-bbf8ad9d7197), FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f), FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693), Microsoft cloud security benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8), NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9), NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f), NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f), SOC 2 Type 2 (/providers/microsoft.authorization/policysetdefinitions/4054785f-702b-4a98-9215-009cbd58b141)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Develop and maintain a vulnerability management standard";"055da733-55c6-9e10-8194-c40731057ec4";"/providers/microsoft.authorization/policydefinitions/055da733-55c6-9e10-8194-c40731057ec4";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"3";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2), PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb), SOC 2 Type 2 (/providers/microsoft.authorization/policysetdefinitions/4054785f-702b-4a98-9215-009cbd58b141)";;;;;"False";"";"";"";""
"BuiltIn";;;;"[Deprecated]: Private endpoint should be enabled for PostgreSQL servers";"0564d078-92f5-4f97-8398-b9f58a51f70b";"/providers/microsoft.authorization/policydefinitions/0564d078-92f5-4f97-8398-b9f58a51f70b";"1.0.1-deprecated";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"SQL";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Satisfy token quality requirements";"056a723b-4946-9d2a-5243-3aa27c4d31a1";"/providers/microsoft.authorization/policydefinitions/056a723b-4946-9d2a-5243-3aa27c4d31a1";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"1";"PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb)";;;;;"False";"";"";"";""
"BuiltIn";;;;"[Deprecated]: Vulnerability Assessment settings for SQL server should contain an email address to receive scan reports";"057d6cfe-9c4f-4a6d-bc60-14420ea1f1a9";"/providers/microsoft.authorization/policydefinitions/057d6cfe-9c4f-4a6d-bc60-14420ea1f1a9";"2.0.0-deprecated";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"SQL";"0";"0";"";;;;;"False";"";"";"";""
